"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Test_statistic"	0.557108847728426	-1.26933537221945	-4.04434147049296	3.49519536606211	2.37559032437873
"run_1"	7.07948069840754	2.65991771578144	6.06316359348414	-2.0534955749215	0.409894964063462
"run_2"	-21.8656984266367	-3.84229138888056	-15.3386172941729	-0.539888891655964	-2.1449008519273
"run_3"	3.0844688576169	4.28379438549229	4.9103596941217	-3.47320205976232	-2.63648316223477
"run_4"	13.8258270386472	7.89702732973416	5.74001388041374	-0.785770237608049	0.974556066107369
"run_5"	-9.09462526001696	-5.72432879356616	-11.1488554933716	8.59846431084735	-0.819905283926547
"run_6"	2.72249700361457	-0.327070324664225	-1.82149789289761	1.00621971624868	3.86484550492771
"run_7"	6.06991561354143	2.5131256240454	-2.30312057544209	1.3079345374193	4.55197602751882
"run_8"	0.870832405731683	4.89796502477106	-3.52372275409927	1.19749821610574	-1.70090808104585
"run_9"	8.96597993305095	-1.18283350672799	1.12889375066897	6.54871234170121	2.47120734740877
"run_10"	3.61125115227872	8.86396675058414	3.51541176654674	-12.5301056521176	3.76197828726542
"run_11"	-10.0564059126545	-2.12539700364219	-6.98979422212544	3.27934016043234	-4.22055484731922
"run_12"	-13.1304774057967	-3.3623937082265	0.242927534050755	-5.69965306007697	-4.31135817154401
"run_13"	7.178725334654	2.37011718579476	-8.6802017109077	6.56787130577975	6.92093855398718
"run_14"	-23.40291420899	-7.63638103042374	-10.6652856817925	-1.11161644481154	-3.98963105196229
"run_15"	-0.43211572092237	5.21000583834776	0.313863580170979	-5.92251099997263	-0.0334741394684843
"run_16"	-1.77080882762687	-3.25511317058775	7.92148310852074	-0.723637279493382	-5.71354148606648
"run_17"	-2.16059789929352	-3.9899852274975	-5.46524103472944	4.74150155167635	2.55312681125707
"run_18"	21.5248425590994	3.95612956386669	2.76700667366692	8.54148921571479	6.26021710585096
"run_19"	0.874093411130276	4.34063212057942	-15.6688555559805	5.56190983137159	6.6404070151598
"run_20"	-14.8709944420058	-1.20513753088439	-8.20473363278907	3.22794048516853	-8.68906376350084
"run_21"	9.09139591357516	6.38977817856172	6.15260885232046	-1.14144176670308	-2.30954935060393
"run_22"	-14.2108165872468	-9.24268702240954	-4.77614100216559	-0.127190163518742	-0.0647983991529118
"run_23"	-19.2210969190853	-2.41033823135198	-12.2852357115637	-2.9891588083897	-1.5363641677799
"run_24"	-3.91958952174008	0.791100651134976	5.81247738358947	-5.32571649302664	-5.19745106343789
"run_25"	-2.91931970328651	0.162100386172161	3.99246117154875	-3.44606382922622	-3.62781743178121
"run_26"	3.57865269753733	-8.96751668489705	-1.83126586384322	3.88924664238025	10.4881886038974
"run_27"	-1.54956677534745	5.93567599732212	0.124177050595176	-7.56543257385463	-0.0439872494101106
"run_28"	-23.6719334494563	11.4232902536935	-21.9586900987913	-5.52742726263375	-7.60910634172481
"run_29"	-5.3392146686048	-6.50743345712066	4.75802985625899	-1.10942098087307	-2.48039008687007
"run_30"	25.0203139571296	5.68075248199856	0.00973749854225125	11.0808573552601	8.24896662132875
"run_31"	-8.78120827564013	-3.57119365708458	-5.40792674912528	-1.53517115636746	1.73308328693719
"run_32"	0.378853870759997	3.5697915209485	-1.44295291924177	-5.89144121184551	4.14345648089879
"run_33"	-0.177123679108671	-4.12541290598984	0.3133937911298	3.20893783933173	0.425957596419645
"run_34"	-3.71521303119534	6.14338782009935	-10.5900843033184	0.138375782297212	0.593107669726507
"run_35"	-6.13781385656759	2.48123846995505	-10.923004248353	-4.73909049280598	7.04304241463639
"run_36"	1.51903662503391	5.63581733971029	-2.74676612353546	3.55628918182569	-4.92630377296661
"run_37"	21.3793157392077	-1.76661455678349	13.0603353622806	7.31548860050476	2.77010633320587
"run_38"	-22.966746786863	-6.8228831916625	-9.42262479003775	-6.23694480976381	-0.484293995398964
"run_39"	5.6242389145692	-3.80489394158203	2.75941591062795	-0.240642612394898	6.91035955791818
"run_40"	11.1166054004837	-1.34694104764125	9.48952690829151	0.0266255074575006	2.94739403237596
"run_41"	17.6408154284464	3.7642746047286	7.39936699372409	6.49812344043558	-0.0209496104418316
"run_42"	-0.236146704413984	-2.86976269119353	3.66831403547946	1.01005653108861	-2.04475457978852
"run_43"	1.81824119661153	-6.2531801006216	1.51898215925294	5.1474321048338	1.40500703314639
"run_44"	-1.53129578167895	-1.62019744677961	5.28133200075071	-4.45352417764205	-0.738906158008011
"run_45"	-12.9256074339804	0.0194578342060721	-7.95971825334068	-3.59787340056803	-1.3874736142778
"run_46"	7.79470808993917	-1.25143445570263	-4.86024060707508	6.28739607208054	7.61898708063634
"run_47"	10.878292384003	2.18443968282967	-1.60449830193454	2.02451359273822	8.27383741036969
"run_48"	-19.7278302176816	4.95459941995643	-14.9083020926252	-3.60457904962412	-6.16954849538874
"run_49"	4.59689008355685	-4.18170508992397	1.62748654210559	-1.17103709380781	8.32214572518303
"run_50"	4.1240859809108	-2.43554591945693	3.91552411236575	0.949272616492289	1.69483517150969
"run_51"	11.2897022114913	2.42958588933428	6.79880662631927	1.9534053741051	0.107904321732693
"run_52"	10.8017423288871	4.55503333289072	4.08355526467001	-3.69360839299933	5.85676212432566
"run_53"	11.7359047547638	3.02985713718642	8.28354152876365	-1.30854810441024	1.73105419322396
"run_54"	-6.5027113871179	0.323729202164502	3.25882167820434	-5.3454895645213	-4.73977270296544
"run_55"	9.70041573682628	-4.21805655046481	4.02856518682834	5.39715504697015	4.49275205349261
"run_56"	2.95507045091381	1.13493774656593	1.78753754952436	1.88405267902244	-1.85145752419892
"run_57"	4.15936996977225	2.91418727691198	-0.609695025285657	4.02171314237744	-2.16683542423151
"run_58"	-5.78521179772297	9.93422726679154	-9.61817524702091	-3.97395839870572	-2.12730541878788
"run_59"	2.92937608849973	-3.10453213365107	7.11538094947217	1.74540423495239	-2.82687696227376
"run_60"	7.23991512645492	-6.63081463197497	-0.18888254793077	7.48145511380482	6.57815719255584
"run_61"	-4.13113306758821	0.0884145098748477	-2.68476653372258	-0.769705491947766	-0.765075551792708
"run_62"	-5.1445436509665	-0.588864733759295	-4.93248130818041	-3.52700301622655	3.90380540719976
"run_63"	-9.47787503776717	-2.87143628182235	-0.730351850095055	-1.38827048822727	-4.4878164176225
"run_64"	-16.0624638597586	-1.44136686718837	-2.80206277825741	-8.44953888482251	-3.3694953294903
"run_65"	7.24875900243679	2.36467650180791	1.00042037181495	-1.38571362717185	5.26937575598578
"run_66"	1.69830165619947	-1.65736873675907	-0.462864952864808	10.1165494713122	-6.2980141254888
