# Immune-control gene pairings
ImmuneGene	ControlGenes
DPOGS202094 	DPOGS209569,DPOGS209576,DPOGS209621,DPOGS209624,DPOGS209606,DPOGS209620,DPOGS209575,DPOGS209603,DPOGS209585,DPOGS209630,DPOGS209597,DPOGS209595,DPOGS209636,DPOGS209591,DPOGS212996,DPOGS213014,DPOGS212999,DPOGS212992,DPOGS213046,DPOGS213032,DPOGS213018,DPOGS212161,DPOGS212145,DPOGS212132,DPOGS212094,DPOGS212091,DPOGS212082,DPOGS212167,DPOGS212139,DPOGS212108,DPOGS212113,DPOGS212134,DPOGS212181,DPOGS212180,DPOGS212149,DPOGS212109,DPOGS212179,DPOGS205066,DPOGS205091,DPOGS205065,DPOGS205071,DPOGS205093,DPOGS205086,DPOGS205042,DPOGS205092,DPOGS205053,DPOGS205078,DPOGS205097,DPOGS213800,DPOGS213816,DPOGS213799,DPOGS213810,DPOGS200182,DPOGS200180,DPOGS200181,DPOGS200140,DPOGS200149,DPOGS200172,DPOGS200156,DPOGS200159,DPOGS200144,DPOGS200174,DPOGS200173,DPOGS202104,DPOGS202110,DPOGS202125,DPOGS208114,DPOGS205928,DPOGS205955,DPOGS205960,DPOGS205923,DPOGS214927,DPOGS203040,DPOGS201945,DPOGS212406,DPOGS212403,DPOGS212437,DPOGS206716,DPOGS212891,DPOGS211263,DPOGS206061,DPOGS206062,DPOGS206064,DPOGS206071,DPOGS206075,DPOGS206084,DPOGS206089,DPOGS206090,DPOGS206091,DPOGS206105,DPOGS206114 
DPOGS202564 	DPOGS202553,DPOGS202566,DPOGS202554,DPOGS202565,DPOGS202572,DPOGS202556,DPOGS202583,DPOGS202555,DPOGS202582,DPOGS202574,DPOGS202579,DPOGS202571,DPOGS202581,DPOGS202562,DPOGS202569,DPOGS202561 
DPOGS202626 	DPOGS202602,DPOGS202601,DPOGS202607,DPOGS202604,DPOGS202597,DPOGS202618,DPOGS202600,DPOGS202622,DPOGS202611,DPOGS202599,DPOGS202617 
DPOGS202662 	DPOGS202644,DPOGS202680,DPOGS202671,DPOGS202640,DPOGS202676,DPOGS202674,DPOGS202647,DPOGS202646,DPOGS202665,DPOGS202677,DPOGS202650,DPOGS202657,DPOGS202658 
DPOGS202796 	DPOGS202855,DPOGS202862,DPOGS202807,DPOGS202808,DPOGS202797,DPOGS202795,DPOGS202785,DPOGS202806,DPOGS202799,DPOGS202817,DPOGS202836,DPOGS202787,DPOGS202779,DPOGS202822,DPOGS202846,DPOGS202794,DPOGS202841,DPOGS202774,DPOGS202835,DPOGS202775,DPOGS202801,DPOGS202802,DPOGS202763,DPOGS202840 
DPOGS202826 	DPOGS202855,DPOGS202862,DPOGS202807,DPOGS202808,DPOGS202810,DPOGS202797,DPOGS202795,DPOGS202785,DPOGS202799,DPOGS202817,DPOGS202836,DPOGS202787,DPOGS202779,DPOGS202822,DPOGS202846,DPOGS202798,DPOGS202841,DPOGS202835,DPOGS202775,DPOGS202801,DPOGS202827,DPOGS202802,DPOGS202763,DPOGS202840 
DPOGS202887 	DPOGS202885,DPOGS202891,DPOGS202893,DPOGS202919,DPOGS202881,DPOGS202921,DPOGS202916,DPOGS202892,DPOGS202911,DPOGS202917,DPOGS202888 
DPOGS202907 	DPOGS214334,DPOGS214388,DPOGS214369,DPOGS214355,DPOGS214313,DPOGS214304,DPOGS214356,DPOGS214319,DPOGS214315,DPOGS214299,DPOGS214302,DPOGS214322,DPOGS214341,DPOGS214314,DPOGS214350,DPOGS214340,DPOGS214342,DPOGS214301,DPOGS209902,DPOGS209905,DPOGS209897,DPOGS209910,DPOGS210450,DPOGS210471,DPOGS210446,DPOGS210434,DPOGS210445,DPOGS210462,DPOGS210461,DPOGS210481,DPOGS210430,DPOGS210442,DPOGS211780,DPOGS211787,DPOGS211778,DPOGS211783,DPOGS211797,DPOGS211796,DPOGS211786,DPOGS211789,DPOGS211768,DPOGS202904,DPOGS202903,DPOGS202901,DPOGS202884,DPOGS202899,DPOGS202912,DPOGS202910,DPOGS207536,DPOGS207535,DPOGS207532,DPOGS207515,DPOGS207507,DPOGS207520,DPOGS207514,DPOGS210526,DPOGS210518,DPOGS210519,DPOGS202937,DPOGS202940,DPOGS202924,DPOGS208402,DPOGS208406,DPOGS208419,DPOGS206018,DPOGS206012,DPOGS206009,DPOGS206017,DPOGS206005,DPOGS215931,DPOGS215936,DPOGS215949,DPOGS214676,DPOGS214673,DPOGS214677,DPOGS214667,DPOGS214660,DPOGS214663,DPOGS209401,DPOGS209412,DPOGS209405,DPOGS209403,DPOGS204577,DPOGS204572,DPOGS204574,DPOGS208344,DPOGS208330,DPOGS204648,DPOGS204649 
DPOGS203180 	DPOGS203155,DPOGS203195,DPOGS203162,DPOGS203232,DPOGS203184,DPOGS203182,DPOGS203185,DPOGS203187,DPOGS203227,DPOGS203142,DPOGS203230,DPOGS203229,DPOGS203202,DPOGS203179,DPOGS203186,DPOGS203173,DPOGS203143,DPOGS203228,DPOGS203147,DPOGS203140,DPOGS203163 
DPOGS203198 	DPOGS203152,DPOGS203183,DPOGS203196,DPOGS203207,DPOGS203191,DPOGS203135,DPOGS203149,DPOGS203197,DPOGS203188,DPOGS203189,DPOGS203216,DPOGS203217,DPOGS203233,DPOGS203221,DPOGS203219,DPOGS203226,DPOGS203153,DPOGS203203,DPOGS203222,DPOGS203136,DPOGS203170,DPOGS203206,DPOGS203178,DPOGS203199,DPOGS203168,DPOGS203167,DPOGS203205,DPOGS203181,DPOGS203165,DPOGS203211,DPOGS203228,DPOGS203208,DPOGS203137,DPOGS203210 
DPOGS203200 	DPOGS203152,DPOGS203183,DPOGS203196,DPOGS203207,DPOGS203191,DPOGS203135,DPOGS203149,DPOGS203197,DPOGS203188,DPOGS203189,DPOGS203216,DPOGS203217,DPOGS203233,DPOGS203221,DPOGS203219,DPOGS203226,DPOGS203153,DPOGS203203,DPOGS203222,DPOGS203136,DPOGS203170,DPOGS203206,DPOGS203178,DPOGS203202,DPOGS203199,DPOGS203168,DPOGS203167,DPOGS203205,DPOGS203181,DPOGS203165,DPOGS203211,DPOGS203228,DPOGS203208,DPOGS203137,DPOGS203210,DPOGS203140 
DPOGS203664 	DPOGS203641,DPOGS203767,DPOGS203649,DPOGS203837,DPOGS203832,DPOGS203675,DPOGS203810,DPOGS203792,DPOGS203775,DPOGS203804,DPOGS203768,DPOGS203772,DPOGS203836,DPOGS203850,DPOGS203657,DPOGS203686,DPOGS203835,DPOGS203651,DPOGS203654,DPOGS203809,DPOGS203672,DPOGS203806,DPOGS203687,DPOGS203702,DPOGS203785,DPOGS203690,DPOGS203824,DPOGS203726,DPOGS203788,DPOGS203727,DPOGS203802,DPOGS203839,DPOGS203862,DPOGS203843,DPOGS203791,DPOGS203704,DPOGS203851,DPOGS203833,DPOGS203814,DPOGS203801,DPOGS203713,DPOGS203701,DPOGS203859,DPOGS203683,DPOGS203696,DPOGS203815,DPOGS203710,DPOGS203674,DPOGS203829,DPOGS203661,DPOGS203861,DPOGS203655,DPOGS203812,DPOGS203831,DPOGS203797,DPOGS203740,DPOGS203751,DPOGS203719,DPOGS203750,DPOGS203796,DPOGS203712,DPOGS203747,DPOGS203711 
DPOGS203759 	DPOGS203639,DPOGS203641,DPOGS203767,DPOGS203638,DPOGS203770,DPOGS203837,DPOGS203832,DPOGS203675,DPOGS203810,DPOGS203792,DPOGS203775,DPOGS203804,DPOGS203768,DPOGS203772,DPOGS203836,DPOGS203720,DPOGS203850,DPOGS203721,DPOGS203657,DPOGS203686,DPOGS203835,DPOGS203758,DPOGS203654,DPOGS203809,DPOGS203672,DPOGS203806,DPOGS203671,DPOGS203687,DPOGS203702,DPOGS203690,DPOGS203824,DPOGS203825,DPOGS203726,DPOGS203788,DPOGS203727,DPOGS203802,DPOGS203839,DPOGS203670,DPOGS203731,DPOGS203650,DPOGS203843,DPOGS203857,DPOGS203704,DPOGS203734,DPOGS203833,DPOGS203814,DPOGS203801,DPOGS203713,DPOGS203701,DPOGS203752,DPOGS203859,DPOGS203683,DPOGS203696,DPOGS203815,DPOGS203741,DPOGS203710,DPOGS203674,DPOGS203830,DPOGS203829,DPOGS203661,DPOGS203861,DPOGS203655,DPOGS203812,DPOGS203798,DPOGS203831,DPOGS203797,DPOGS203751,DPOGS203719,DPOGS203750,DPOGS203796,DPOGS203712,DPOGS203747 
DPOGS204146 	DPOGS204163,DPOGS204167,DPOGS204164,DPOGS204159,DPOGS204200,DPOGS204184,DPOGS204176,DPOGS204155,DPOGS204174,DPOGS204183,DPOGS204181,DPOGS204190,DPOGS204187,DPOGS204156,DPOGS204179,DPOGS204195,DPOGS204194 
DPOGS204147 	DPOGS204163,DPOGS204164,DPOGS204159,DPOGS204200,DPOGS204155,DPOGS204174,DPOGS204178,DPOGS204183,DPOGS204181,DPOGS204190,DPOGS204187,DPOGS204156,DPOGS204179,DPOGS204195,DPOGS204194 
DPOGS204148 	DPOGS204169,DPOGS204161,DPOGS204162,DPOGS204163,DPOGS204167,DPOGS204184,DPOGS204199,DPOGS204176,DPOGS204174,DPOGS204183,DPOGS204203,DPOGS204172,DPOGS204202,DPOGS204187,DPOGS204179,DPOGS204153,DPOGS204170,DPOGS204195 
DPOGS204835 	DPOGS204855,DPOGS204836,DPOGS204843,DPOGS204840,DPOGS204857,DPOGS204858,DPOGS204841 
DPOGS205123 	DPOGS214391,DPOGS214429,DPOGS214405,DPOGS214433,DPOGS214418,DPOGS214412,DPOGS214411,DPOGS214394,DPOGS214428,DPOGS214424,DPOGS214398,DPOGS214421,DPOGS214414,DPOGS214401,DPOGS214436,DPOGS214402,DPOGS214439,DPOGS214410,DPOGS214437,DPOGS214438,DPOGS214423,DPOGS214415,DPOGS214426,DPOGS214434,DPOGS214400,DPOGS214399,DPOGS214409,DPOGS203439,DPOGS203460,DPOGS203452,DPOGS203437,DPOGS203461,DPOGS203448,DPOGS203440,DPOGS203454,DPOGS203443,DPOGS203451,DPOGS203438,DPOGS202968,DPOGS202973,DPOGS202967,DPOGS202965,DPOGS202972,DPOGS200463,DPOGS200467,DPOGS200452,DPOGS200454,DPOGS200446,DPOGS200468,DPOGS200466,DPOGS200447,DPOGS200450,DPOGS200448,DPOGS200469,DPOGS200460,DPOGS204090,DPOGS204089,DPOGS204086,DPOGS201956,DPOGS201959,DPOGS201957,DPOGS201958,DPOGS203109,DPOGS203106,DPOGS203101,DPOGS203100,DPOGS203095,DPOGS203099,DPOGS203096,DPOGS203103,DPOGS203094,DPOGS203097,DPOGS205126,DPOGS215502,DPOGS208136,DPOGS208137 
DPOGS205206 	DPOGS205203,DPOGS205239,DPOGS205197,DPOGS205202,DPOGS205233,DPOGS205205,DPOGS205237,DPOGS205241,DPOGS205240,DPOGS205214,DPOGS205220,DPOGS205196,DPOGS205234,DPOGS205223,DPOGS205217,DPOGS205245,DPOGS205246,DPOGS205199,DPOGS205247,DPOGS205225,DPOGS205193,DPOGS205243,DPOGS205191,DPOGS205190 
DPOGS205210 	DPOGS205203,DPOGS205239,DPOGS205197,DPOGS205202,DPOGS205233,DPOGS205205,DPOGS205237,DPOGS205241,DPOGS205240,DPOGS205214,DPOGS205220,DPOGS205196,DPOGS205234,DPOGS205223,DPOGS205217,DPOGS205245,DPOGS205246,DPOGS205199,DPOGS205247,DPOGS205225,DPOGS205193,DPOGS205243,DPOGS205191,DPOGS205190 
DPOGS205231 	DPOGS215109,DPOGS215095,DPOGS215110,DPOGS201589,DPOGS201600,DPOGS201595,DPOGS201597,DPOGS201618,DPOGS201582,DPOGS201605,DPOGS215007,DPOGS215001,DPOGS205222,DPOGS205208,DPOGS205244,DPOGS205219,DPOGS205232,DPOGS215354,DPOGS215355,DPOGS211496,DPOGS211515,DPOGS211520,DPOGS211500,DPOGS205377,DPOGS205379,DPOGS203882,DPOGS204613,DPOGS211056,DPOGS211055 
DPOGS205279 	DPOGS205278,DPOGS205280,DPOGS205285,DPOGS205286,DPOGS205304,DPOGS205290,DPOGS205263,DPOGS205269,DPOGS205288,DPOGS205273,DPOGS205287,DPOGS205275,DPOGS205268,DPOGS205274 
DPOGS205281 	DPOGS205278,DPOGS205280,DPOGS205285,DPOGS205286,DPOGS205300,DPOGS205304,DPOGS205290,DPOGS205263,DPOGS205267,DPOGS205273,DPOGS205287,DPOGS205275,DPOGS205268,DPOGS205276,DPOGS205274 
DPOGS205283 	DPOGS205297,DPOGS205286,DPOGS205303,DPOGS205300,DPOGS205302,DPOGS205304,DPOGS205272,DPOGS205267,DPOGS205273,DPOGS205275,DPOGS205268,DPOGS205292,DPOGS205276,DPOGS205299,DPOGS205270,DPOGS205274 
DPOGS205293 	DPOGS205297,DPOGS205286,DPOGS205289,DPOGS205303,DPOGS205300,DPOGS205302,DPOGS205261,DPOGS205272,DPOGS205267,DPOGS205265,DPOGS205292,DPOGS205276,DPOGS205299,DPOGS205270,DPOGS205266 
DPOGS205295 	DPOGS205278,DPOGS205280,DPOGS205285,DPOGS205286,DPOGS205300,DPOGS205304,DPOGS205290,DPOGS205263,DPOGS205267,DPOGS205273,DPOGS205287,DPOGS205275,DPOGS205268,DPOGS205276,DPOGS205274 
