# Immune-control gene pairings
ImmuneGene	ControlGenes
DPOGS205296 	DPOGS205286,DPOGS205303,DPOGS205300,DPOGS205302,DPOGS205304,DPOGS205272,DPOGS205267,DPOGS205273,DPOGS205275,DPOGS205268,DPOGS205292,DPOGS205276,DPOGS205299,DPOGS205270,DPOGS205274 
DPOGS205720 	DPOGS205683,DPOGS205684,DPOGS205695,DPOGS205697,DPOGS205690,DPOGS205701,DPOGS205704,DPOGS205705,DPOGS205706,DPOGS205711,DPOGS205699,DPOGS205698,DPOGS205703,DPOGS205717,DPOGS205713,DPOGS205710,DPOGS205724,DPOGS205718,DPOGS205723,DPOGS205721 
DPOGS205936 	DPOGS205954,DPOGS205935,DPOGS205929,DPOGS205952,DPOGS205948,DPOGS205957,DPOGS205956,DPOGS205925,DPOGS205937,DPOGS205931,DPOGS205930,DPOGS205927,DPOGS205947,DPOGS205924,DPOGS205945,DPOGS205946,DPOGS205932 
DPOGS206217 	DPOGS206227,DPOGS206232,DPOGS206234,DPOGS206228,DPOGS206221,DPOGS206219,DPOGS206216,DPOGS206220,DPOGS206237,DPOGS206231 
DPOGS206224 	DPOGS206227,DPOGS206230,DPOGS206234,DPOGS206218,DPOGS206221,DPOGS206219,DPOGS206216,DPOGS206226,DPOGS206220,DPOGS206235,DPOGS206237,DPOGS206231 
DPOGS206561 	DPOGS206571,DPOGS206570,DPOGS206560,DPOGS206581,DPOGS206582,DPOGS206573 
DPOGS206562 	DPOGS208159,DPOGS208155,DPOGS208158,DPOGS208154,DPOGS208163,DPOGS208152,DPOGS208149,DPOGS208151,DPOGS202366,DPOGS202386,DPOGS202387,DPOGS202363,DPOGS202349,DPOGS202351,DPOGS202382,DPOGS202358,DPOGS202368,DPOGS206558,DPOGS206555,DPOGS206564,DPOGS206579,DPOGS206586,DPOGS214913,DPOGS214921,DPOGS214919,DPOGS209534,DPOGS209538,DPOGS209531,DPOGS211537,DPOGS211541,DPOGS211553,DPOGS211543,DPOGS211547,DPOGS211550,DPOGS211546,DPOGS211535,DPOGS211545,DPOGS211544,DPOGS206430,DPOGS206426,DPOGS206407,DPOGS206412,DPOGS206423,DPOGS206415,DPOGS206408,DPOGS206411,DPOGS209321,DPOGS209327,DPOGS209316,DPOGS211733,DPOGS211727,DPOGS211717,DPOGS212912,DPOGS212906,DPOGS212916,DPOGS212919,DPOGS210298,DPOGS210307,DPOGS210302,DPOGS213974,DPOGS212653,DPOGS212648,DPOGS212649,DPOGS213333,DPOGS213330,DPOGS200051,DPOGS206520,DPOGS206514,DPOGS206516,DPOGS206515,DPOGS202485 
DPOGS206563 	DPOGS206571,DPOGS206570,DPOGS206560,DPOGS206581,DPOGS206583,DPOGS206582,DPOGS206580,DPOGS206573 
DPOGS207788 	DPOGS207710,DPOGS207796,DPOGS207795,DPOGS207750,DPOGS207786,DPOGS207830,DPOGS207794,DPOGS207746,DPOGS207785,DPOGS207754,DPOGS207716,DPOGS207719,DPOGS207802,DPOGS207787,DPOGS207711,DPOGS207793,DPOGS207714,DPOGS207743,DPOGS207860,DPOGS207829,DPOGS207789,DPOGS207726,DPOGS207753,DPOGS207791,DPOGS207762,DPOGS207731,DPOGS207703,DPOGS207800,DPOGS207739,DPOGS207776,DPOGS207838,DPOGS207764,DPOGS207723,DPOGS207699,DPOGS207854,DPOGS207855,DPOGS207769,DPOGS207815,DPOGS207724,DPOGS207775,DPOGS207846,DPOGS207767,DPOGS207781,DPOGS207782,DPOGS207736,DPOGS207758,DPOGS207844,DPOGS207856,DPOGS207827,DPOGS207759,DPOGS207825,DPOGS207820,DPOGS207761,DPOGS207858,DPOGS207733,DPOGS207729,DPOGS207843,DPOGS207766,DPOGS207823,DPOGS207850,DPOGS207814,DPOGS207804,DPOGS207817 
DPOGS207960 	DPOGS207927,DPOGS207972,DPOGS207925,DPOGS207965,DPOGS207993,DPOGS207974,DPOGS207968,DPOGS207985,DPOGS207983,DPOGS207954,DPOGS207994,DPOGS207952,DPOGS207986,DPOGS207950,DPOGS207981,DPOGS207991,DPOGS207932,DPOGS207977,DPOGS207949,DPOGS207945,DPOGS207934,DPOGS207931,DPOGS207929,DPOGS207980 
DPOGS208169 	DPOGS212020,DPOGS212038,DPOGS212036,DPOGS212037,DPOGS212018,DPOGS212021,DPOGS212015,DPOGS212023,DPOGS212043,DPOGS212039,DPOGS212016,DPOGS212042,DPOGS212028,DPOGS212030,DPOGS212050,DPOGS212056,DPOGS212025,DPOGS214868,DPOGS214852,DPOGS214855,DPOGS214851,DPOGS214877,DPOGS214840,DPOGS214873,DPOGS214856,DPOGS214858,DPOGS214861,DPOGS214862,DPOGS214845,DPOGS214850,DPOGS214844,DPOGS209046,DPOGS209061,DPOGS209035,DPOGS209038,DPOGS209048,DPOGS209040,DPOGS209032,DPOGS209047,DPOGS209057,DPOGS209030,DPOGS209044,DPOGS209024,DPOGS209065,DPOGS209026,DPOGS209064,DPOGS209067,DPOGS209029,DPOGS209028,DPOGS209053,DPOGS209033,DPOGS209037,DPOGS209063,DPOGS209052,DPOGS204987,DPOGS204972,DPOGS204995,DPOGS205001,DPOGS204979,DPOGS204984,DPOGS204991,DPOGS204985,DPOGS204988,DPOGS204969,DPOGS215186,DPOGS215175,DPOGS215174,DPOGS215192,DPOGS215200,DPOGS215169,DPOGS215203,DPOGS215205,DPOGS215208,DPOGS215209,DPOGS215216,DPOGS215218,DPOGS215219,DPOGS215210,DPOGS215229,DPOGS215231,DPOGS215224,DPOGS215195,DPOGS215212,DPOGS215202,DPOGS215217,DPOGS215189,DPOGS215190,DPOGS215225,DPOGS215194,DPOGS207363,DPOGS207358,DPOGS207359,DPOGS207355,DPOGS207354,DPOGS207331,DPOGS207337,DPOGS207357,DPOGS207356,DPOGS207360,DPOGS207332,DPOGS207353,DPOGS207336,DPOGS207345,DPOGS207335,DPOGS207351,DPOGS207346,DPOGS208185,DPOGS208187,DPOGS208172,DPOGS208180,DPOGS208189,DPOGS216144,DPOGS216147,DPOGS200950,DPOGS200962,DPOGS200949,DPOGS200946,DPOGS200953,DPOGS201628,DPOGS200212,DPOGS207670,DPOGS207673,DPOGS207686,DPOGS207682,DPOGS207680,DPOGS207677,DPOGS207675,DPOGS207674,DPOGS209769,DPOGS209771,DPOGS209775,DPOGS209774,DPOGS209773,DPOGS209772,DPOGS202683,DPOGS207316,DPOGS211707,DPOGS211710,DPOGS211709,DPOGS211708,DPOGS210152,DPOGS210153,DPOGS213448 
DPOGS208945 	DPOGS208919,DPOGS208879,DPOGS208918,DPOGS208966,DPOGS208878,DPOGS208963,DPOGS208956,DPOGS208880,DPOGS208881,DPOGS208947,DPOGS208990,DPOGS208909,DPOGS208968,DPOGS208926,DPOGS208875,DPOGS208920,DPOGS208901,DPOGS208852,DPOGS208976,DPOGS208974,DPOGS208943,DPOGS208950,DPOGS208925,DPOGS208874,DPOGS208999,DPOGS208986,DPOGS208906,DPOGS208893,DPOGS208922,DPOGS208970,DPOGS208960,DPOGS208942,DPOGS208929,DPOGS208935,DPOGS208998,DPOGS208938,DPOGS208967,DPOGS208862,DPOGS208892,DPOGS208931,DPOGS208972,DPOGS208859,DPOGS208952,DPOGS208853,DPOGS208864,DPOGS208905,DPOGS208977,DPOGS208885,DPOGS208863,DPOGS208983,DPOGS208903,DPOGS208871,DPOGS208982,DPOGS208992,DPOGS208897,DPOGS208889,DPOGS208902,DPOGS208940 
DPOGS208954 	DPOGS208919,DPOGS208957,DPOGS208878,DPOGS208963,DPOGS208876,DPOGS208908,DPOGS208881,DPOGS208947,DPOGS208912,DPOGS208875,DPOGS208920,DPOGS208958,DPOGS208852,DPOGS208930,DPOGS208943,DPOGS208911,DPOGS208924,DPOGS208925,DPOGS208874,DPOGS208922,DPOGS208888,DPOGS208970,DPOGS208998,DPOGS208938,DPOGS208904,DPOGS208967,DPOGS208862,DPOGS208892,DPOGS208890,DPOGS208980,DPOGS208952,DPOGS208885,DPOGS208863,DPOGS208983,DPOGS208871,DPOGS208982,DPOGS208992,DPOGS208897,DPOGS208940 
DPOGS209243 	DPOGS209270,DPOGS209252,DPOGS209258,DPOGS209257,DPOGS209263,DPOGS209268,DPOGS209256,DPOGS209255,DPOGS209267,DPOGS209250,DPOGS209254,DPOGS209245,DPOGS209244 
DPOGS209453 	DPOGS209442,DPOGS209437,DPOGS209476,DPOGS209438,DPOGS209446,DPOGS209475,DPOGS209444,DPOGS209461,DPOGS209445,DPOGS209448,DPOGS209472,DPOGS209471,DPOGS209456,DPOGS209452,DPOGS209455,DPOGS209451,DPOGS209464,DPOGS209473,DPOGS209463 
DPOGS209809 	DPOGS209788,DPOGS209829,DPOGS209794,DPOGS209791,DPOGS209822,DPOGS209804,DPOGS209784,DPOGS209789,DPOGS209782,DPOGS209821,DPOGS209844,DPOGS209846,DPOGS209796,DPOGS209785,DPOGS209825,DPOGS209824,DPOGS209807,DPOGS209843,DPOGS209817,DPOGS209812,DPOGS209798,DPOGS209818,DPOGS209827 
DPOGS209810 	DPOGS209790,DPOGS209787,DPOGS209792,DPOGS209829,DPOGS209832,DPOGS209793,DPOGS209835,DPOGS209840,DPOGS209784,DPOGS209803,DPOGS209836,DPOGS209834,DPOGS209806,DPOGS209816,DPOGS209800,DPOGS209833,DPOGS209842,DPOGS209820,DPOGS209817,DPOGS209826,DPOGS209819,DPOGS209830 
DPOGS209813 	DPOGS209788,DPOGS209829,DPOGS209848,DPOGS209794,DPOGS209791,DPOGS209822,DPOGS209804,DPOGS209784,DPOGS209789,DPOGS209782,DPOGS209821,DPOGS209844,DPOGS209846,DPOGS209796,DPOGS209785,DPOGS209825,DPOGS209824,DPOGS209807,DPOGS209843,DPOGS209817,DPOGS209812,DPOGS209798,DPOGS209818,DPOGS209827 
DPOGS209814 	DPOGS209788,DPOGS209829,DPOGS209832,DPOGS209794,DPOGS209791,DPOGS209804,DPOGS209840,DPOGS209784,DPOGS209789,DPOGS209782,DPOGS209821,DPOGS209846,DPOGS209796,DPOGS209785,DPOGS209807,DPOGS209843,DPOGS209820,DPOGS209817,DPOGS209798,DPOGS209818 
DPOGS210157 	DPOGS205887,DPOGS205909,DPOGS205904,DPOGS205894,DPOGS205913,DPOGS205918,DPOGS205917,DPOGS205915,DPOGS202076,DPOGS202079,DPOGS202081,DPOGS202087,DPOGS202088,DPOGS200397,DPOGS214902,DPOGS211672,DPOGS211673,DPOGS211677,DPOGS211662,DPOGS211670,DPOGS211664,DPOGS211666,DPOGS214883,DPOGS212551,DPOGS212552,DPOGS202945,DPOGS202946,DPOGS202954,DPOGS202963,DPOGS202958,DPOGS204790,DPOGS204792,DPOGS204737,DPOGS204743,DPOGS204744,DPOGS204750,DPOGS204751,DPOGS204756,DPOGS204763,DPOGS204769,DPOGS204771,DPOGS204776,DPOGS204779,DPOGS204780,DPOGS205961,DPOGS205963,DPOGS205965,DPOGS205964,DPOGS205682,DPOGS205688,DPOGS205691,DPOGS205696,DPOGS205692,DPOGS205702,DPOGS205707,DPOGS205689,DPOGS205700,DPOGS205712,DPOGS212456,DPOGS204629,DPOGS204630,DPOGS204628,DPOGS204635,DPOGS204638,DPOGS201053,DPOGS205343,DPOGS203070,DPOGS203071,DPOGS204551,DPOGS204555,DPOGS204556,DPOGS204559,DPOGS204552,DPOGS204554,DPOGS204534,DPOGS204525,DPOGS204533,DPOGS204557,DPOGS204526,DPOGS204532,DPOGS210763,DPOGS210766,DPOGS210771,DPOGS210773,DPOGS210774,DPOGS210775,DPOGS214005,DPOGS214009,DPOGS200771,DPOGS200765,DPOGS200764,DPOGS200763,DPOGS202480,DPOGS202481,DPOGS202483,DPOGS202484,DPOGS200699,DPOGS210169,DPOGS210168,DPOGS209287,DPOGS206502,DPOGS206511,DPOGS206498,DPOGS206499,DPOGS210020,DPOGS210028,DPOGS211702,DPOGS211704,DPOGS211693,DPOGS211692,DPOGS211698,DPOGS211696,DPOGS211688,DPOGS211687,DPOGS214822,DPOGS214825,DPOGS214826,DPOGS214827,DPOGS214831,DPOGS207902,DPOGS207901,DPOGS210165,DPOGS210163,DPOGS210158,DPOGS210161,DPOGS210162,DPOGS213847,DPOGS210778,DPOGS210779,DPOGS208425,DPOGS203060,DPOGS203867,DPOGS203868,DPOGS203870,DPOGS203471,DPOGS215432,DPOGS205883,DPOGS202685,DPOGS209122,DPOGS209121,DPOGS205014,DPOGS205016,DPOGS205017,DPOGS205019,DPOGS205020,DPOGS205593,DPOGS202585,DPOGS200883,DPOGS209856,DPOGS209857,DPOGS212192,DPOGS212193,DPOGS202749,DPOGS202744,DPOGS207907,DPOGS207912,DPOGS207911,DPOGS201825,DPOGS201826,DPOGS209112,DPOGS209113,DPOGS209119,DPOGS209118,DPOGS214443,DPOGS213968,DPOGS209125,DPOGS209126,DPOGS209127,DPOGS214686,DPOGS205427,DPOGS213276,DPOGS206201,DPOGS206203,DPOGS209862,DPOGS209864,DPOGS209861,DPOGS211748,DPOGS211994,DPOGS202390,DPOGS202395,DPOGS202396,DPOGS213316,DPOGS208850,DPOGS208849,DPOGS203888,DPOGS200471,DPOGS214017,DPOGS209660,DPOGS212310,DPOGS212311,DPOGS210296,DPOGS210295,DPOGS205363,DPOGS205364,DPOGS209940,DPOGS205967,DPOGS203420,DPOGS202547,DPOGS209690,DPOGS212887,DPOGS209284,DPOGS200698,DPOGS201630,DPOGS214971,DPOGS212923,DPOGS211756,DPOGS200399,DPOGS205725,DPOGS206524,DPOGS213711,DPOGS210938,DPOGS211996,DPOGS211997,DPOGS202868,DPOGS210640,DPOGS205550,DPOGS211245,DPOGS204010,DPOGS204923,DPOGS212462,DPOGS213447,DPOGS212789,DPOGS203582,DPOGS212984,DPOGS212904,DPOGS201210,DPOGS200385,DPOGS200499,DPOGS209705,DPOGS210564,DPOGS202877,DPOGS205431,DPOGS213933,DPOGS212057,DPOGS209020,DPOGS212890,DPOGS200055,DPOGS200057,DPOGS200066,DPOGS200067,DPOGS200069,DPOGS200071,DPOGS200074,DPOGS200075,DPOGS200077,DPOGS200102,DPOGS200103,DPOGS200111,DPOGS200116,DPOGS200117,DPOGS200123,DPOGS206161 
DPOGS210210 	DPOGS210253,DPOGS210252,DPOGS210246,DPOGS210241,DPOGS210245,DPOGS210231,DPOGS210209,DPOGS210250,DPOGS210243,DPOGS210227,DPOGS210249,DPOGS210230,DPOGS210234 
DPOGS210211 	DPOGS210252,DPOGS210241,DPOGS210250,DPOGS210214,DPOGS210232,DPOGS210220,DPOGS210217,DPOGS210216,DPOGS210213 
DPOGS210251 	DPOGS210241,DPOGS210250,DPOGS210214,DPOGS210232,DPOGS210220,DPOGS210217,DPOGS210216,DPOGS210213 
DPOGS210260 	DPOGS210258,DPOGS210274,DPOGS210281,DPOGS210277,DPOGS210257,DPOGS210272,DPOGS210289,DPOGS210275,DPOGS210282,DPOGS210264,DPOGS210285,DPOGS210259 
DPOGS210265 	DPOGS210267,DPOGS210266,DPOGS210263,DPOGS210284,DPOGS210280,DPOGS210276,DPOGS210286,DPOGS210261 
DPOGS210268 	DPOGS210267,DPOGS210266,DPOGS210263,DPOGS210284,DPOGS210280,DPOGS210276,DPOGS210286,DPOGS210261 
DPOGS210269 	DPOGS210267,DPOGS210266,DPOGS210263,DPOGS210284,DPOGS210280,DPOGS210276,DPOGS210286,DPOGS210261 
DPOGS210270 	DPOGS201685,DPOGS201707,DPOGS201687,DPOGS201694,DPOGS201699,DPOGS215537,DPOGS215542,DPOGS215532,DPOGS215536,DPOGS215538,DPOGS215539,DPOGS215556,DPOGS215554,DPOGS215535,DPOGS215547,DPOGS200246,DPOGS200255,DPOGS200247,DPOGS200244,DPOGS200237,DPOGS200243,DPOGS200230,DPOGS200235,DPOGS200236,DPOGS200245,DPOGS200250,DPOGS208194,DPOGS208196,DPOGS208220,DPOGS208191,DPOGS208204,DPOGS208199,DPOGS208214,DPOGS208192,DPOGS204065,DPOGS204079,DPOGS204063,DPOGS204074,DPOGS204080,DPOGS210267,DPOGS210266,DPOGS210263,DPOGS210280,DPOGS210276,DPOGS210286,DPOGS210261,DPOGS205365,DPOGS209106,DPOGS209109,DPOGS209107,DPOGS206266,DPOGS206270,DPOGS206292,DPOGS206279,DPOGS206274,DPOGS206287,DPOGS200575,DPOGS209342,DPOGS209339,DPOGS209346,DPOGS206188,DPOGS206190,DPOGS206189,DPOGS206199,DPOGS206185,DPOGS206184,DPOGS213234,DPOGS213225,DPOGS213224,DPOGS213226,DPOGS200793,DPOGS204796,DPOGS204797,DPOGS206767,DPOGS206768,DPOGS206771,DPOGS206776,DPOGS206777,DPOGS206780,DPOGS207208,DPOGS207212,DPOGS207214,DPOGS207215,DPOGS207220 
DPOGS210271 	DPOGS201685,DPOGS201707,DPOGS201687,DPOGS201694,DPOGS201699,DPOGS215537,DPOGS215542,DPOGS215532,DPOGS215536,DPOGS215538,DPOGS215539,DPOGS215556,DPOGS215554,DPOGS215535,DPOGS215547,DPOGS200246,DPOGS200255,DPOGS200247,DPOGS200244,DPOGS200237,DPOGS200243,DPOGS200230,DPOGS200235,DPOGS200236,DPOGS200245,DPOGS200250,DPOGS208194,DPOGS208196,DPOGS208220,DPOGS208191,DPOGS208204,DPOGS208199,DPOGS208214,DPOGS208192,DPOGS204065,DPOGS204079,DPOGS204063,DPOGS204074,DPOGS204080,DPOGS210267,DPOGS210266,DPOGS210263,DPOGS210280,DPOGS210276,DPOGS210286,DPOGS210261,DPOGS205365,DPOGS209106,DPOGS209109,DPOGS209107,DPOGS206266,DPOGS206270,DPOGS206292,DPOGS206279,DPOGS206274,DPOGS206287,DPOGS200575,DPOGS209342,DPOGS209339,DPOGS209346,DPOGS206188,DPOGS206190,DPOGS206189,DPOGS206199,DPOGS206185,DPOGS206184,DPOGS213234,DPOGS213225,DPOGS213224,DPOGS213226,DPOGS200793,DPOGS204796,DPOGS204797,DPOGS206767,DPOGS206768,DPOGS206771,DPOGS206776,DPOGS206777,DPOGS206780,DPOGS207208,DPOGS207212,DPOGS207214,DPOGS207215,DPOGS207220 
DPOGS210303 	DPOGS208147,DPOGS208153,DPOGS208160,DPOGS208148,DPOGS208161,DPOGS208165,DPOGS208157,DPOGS202354,DPOGS202356,DPOGS202353,DPOGS202364,DPOGS202384,DPOGS202381,DPOGS202376,DPOGS202380,DPOGS206574,DPOGS206559,DPOGS206569,DPOGS206565,DPOGS206575,DPOGS206584,DPOGS206567,DPOGS206572,DPOGS206583,DPOGS206580,DPOGS214917,DPOGS214910,DPOGS209532,DPOGS209533,DPOGS209528,DPOGS209537,DPOGS209539,DPOGS211542,DPOGS211552,DPOGS211538,DPOGS211549,DPOGS211560,DPOGS211562,DPOGS206429,DPOGS206425,DPOGS206417,DPOGS206419,DPOGS206409,DPOGS209320,DPOGS209323,DPOGS209313,DPOGS209307,DPOGS209322,DPOGS209301,DPOGS209325,DPOGS209331,DPOGS209315,DPOGS209326,DPOGS209329,DPOGS211730,DPOGS211719,DPOGS211728,DPOGS211729,DPOGS211721,DPOGS212913,DPOGS212921,DPOGS212905,DPOGS212910,DPOGS212911,DPOGS212907,DPOGS210306,DPOGS213972,DPOGS213973,DPOGS213976,DPOGS213320,DPOGS213332,DPOGS213322,DPOGS213321,DPOGS213324,DPOGS213325,DPOGS214958,DPOGS214957,DPOGS200047,DPOGS200050,DPOGS206513,DPOGS206518,DPOGS207540,DPOGS207542,DPOGS207541,DPOGS204212 
DPOGS210304 	DPOGS208147,DPOGS208153,DPOGS208160,DPOGS208148,DPOGS208161,DPOGS208157,DPOGS202354,DPOGS202356,DPOGS202353,DPOGS202364,DPOGS202384,DPOGS202381,DPOGS202376,DPOGS202380,DPOGS206574,DPOGS206559,DPOGS206569,DPOGS206565,DPOGS206575,DPOGS206584,DPOGS206567,DPOGS206572,DPOGS206583,DPOGS206580,DPOGS214917,DPOGS214910,DPOGS209532,DPOGS209533,DPOGS209528,DPOGS209537,DPOGS209539,DPOGS211542,DPOGS211552,DPOGS211538,DPOGS211549,DPOGS211560,DPOGS211562,DPOGS206429,DPOGS206425,DPOGS206417,DPOGS206419,DPOGS206409,DPOGS209320,DPOGS209323,DPOGS209313,DPOGS209307,DPOGS209301,DPOGS209325,DPOGS209331,DPOGS209315,DPOGS209326,DPOGS209329,DPOGS211719,DPOGS211728,DPOGS211729,DPOGS211721,DPOGS212913,DPOGS212921,DPOGS212905,DPOGS212910,DPOGS212911,DPOGS212907,DPOGS210306,DPOGS213972,DPOGS213973,DPOGS213976,DPOGS213320,DPOGS213332,DPOGS213322,DPOGS213321,DPOGS213324,DPOGS213325,DPOGS214958,DPOGS214957,DPOGS200050,DPOGS206513,DPOGS206518,DPOGS207540,DPOGS207542,DPOGS207541,DPOGS204212 
DPOGS210549 	DPOGS210557,DPOGS210558,DPOGS210559,DPOGS210538,DPOGS210544,DPOGS210548,DPOGS210539,DPOGS210556,DPOGS210547,DPOGS210553 
DPOGS210568 	DPOGS212465,DPOGS212477,DPOGS212530,DPOGS212490,DPOGS212475,DPOGS212527,DPOGS212474,DPOGS212528,DPOGS212487,DPOGS212524,DPOGS212525,DPOGS212522,DPOGS212513,DPOGS212498,DPOGS212510,DPOGS212484,DPOGS205586,DPOGS205590,DPOGS205582,DPOGS205581,DPOGS214550,DPOGS214564,DPOGS214563,DPOGS214546,DPOGS214561,DPOGS214558,DPOGS214545,DPOGS214565,DPOGS214553,DPOGS214547,DPOGS214560,DPOGS214544,DPOGS201728,DPOGS201730,DPOGS201726,DPOGS201735,DPOGS210183,DPOGS210195,DPOGS210205,DPOGS210187,DPOGS210188,DPOGS210193,DPOGS210190,DPOGS210184,DPOGS206746,DPOGS206737,DPOGS206745,DPOGS206756,DPOGS206752,DPOGS206757,DPOGS206748,DPOGS212076,DPOGS212075,DPOGS212074,DPOGS212058,DPOGS212080,DPOGS212072,DPOGS212065,DPOGS212081,DPOGS206222,DPOGS206230,DPOGS206218,DPOGS206221,DPOGS206219,DPOGS206216,DPOGS206226,DPOGS206220,DPOGS206235,DPOGS206237,DPOGS206231,DPOGS213860,DPOGS213859,DPOGS213852,DPOGS213853,DPOGS213856,DPOGS213854,DPOGS210569,DPOGS210574,DPOGS210573,DPOGS210570,DPOGS212901,DPOGS212894,DPOGS212899,DPOGS212898,DPOGS200006,DPOGS200005,DPOGS200011,DPOGS200007,DPOGS204007,DPOGS204005,DPOGS209092,DPOGS209095,DPOGS209093,DPOGS209097,DPOGS212245,DPOGS212793 
DPOGS211237 	DPOGS214731,DPOGS214734,DPOGS214713,DPOGS214716,DPOGS214717,DPOGS214706,DPOGS214720,DPOGS214742,DPOGS214779,DPOGS214777,DPOGS214736,DPOGS214701,DPOGS214761,DPOGS214747,DPOGS214745,DPOGS214748,DPOGS214776,DPOGS214687,DPOGS214762,DPOGS214763,DPOGS214754,DPOGS214688,DPOGS214689,DPOGS214692,DPOGS214769,DPOGS214743,DPOGS214693,DPOGS214710,DPOGS214749,DPOGS214707,DPOGS214751,DPOGS214774,DPOGS214735,DPOGS202272,DPOGS202269,DPOGS202249,DPOGS202321,DPOGS202317,DPOGS202332,DPOGS202267,DPOGS202262,DPOGS202326,DPOGS202258,DPOGS202265,DPOGS202328,DPOGS202336,DPOGS202320,DPOGS202292,DPOGS202324,DPOGS202255,DPOGS202313,DPOGS202329,DPOGS202322,DPOGS202280,DPOGS202281,DPOGS202293,DPOGS202333,DPOGS202251,DPOGS202303,DPOGS202263,DPOGS202242,DPOGS202250,DPOGS202252,DPOGS202244,DPOGS202309,DPOGS202266,DPOGS202338,DPOGS202256,DPOGS202274,DPOGS202248,DPOGS202245,DPOGS202340,DPOGS202239,DPOGS202282,DPOGS202307,DPOGS204169,DPOGS204161,DPOGS204162,DPOGS204163,DPOGS204167,DPOGS204184,DPOGS204199,DPOGS204176,DPOGS204174,DPOGS204183,DPOGS204203,DPOGS204172,DPOGS204202,DPOGS204187,DPOGS204179,DPOGS204153,DPOGS204170,DPOGS204195,DPOGS214579,DPOGS214594,DPOGS214591,DPOGS214606,DPOGS214617,DPOGS214595,DPOGS214587,DPOGS214604,DPOGS214618,DPOGS214590,DPOGS214609,DPOGS214650,DPOGS214576,DPOGS214630,DPOGS214634,DPOGS214596,DPOGS214625,DPOGS214616,DPOGS214629,DPOGS214644,DPOGS214648,DPOGS214649,DPOGS214571,DPOGS214626,DPOGS214615,DPOGS214628,DPOGS214583,DPOGS214627,DPOGS214572,DPOGS214641,DPOGS214642,DPOGS214575,DPOGS214597,DPOGS214610,DPOGS214622,DPOGS214581,DPOGS214598,DPOGS214635,DPOGS212819,DPOGS212848,DPOGS212804,DPOGS212828,DPOGS212863,DPOGS212875,DPOGS212879,DPOGS212802,DPOGS212847,DPOGS212827,DPOGS212845,DPOGS212825,DPOGS212844,DPOGS212873,DPOGS212846,DPOGS212877,DPOGS212810,DPOGS212830,DPOGS212867,DPOGS212829,DPOGS212858,DPOGS212876,DPOGS212821,DPOGS212803,DPOGS212868,DPOGS212850,DPOGS212812,DPOGS212837,DPOGS212806,DPOGS211295,DPOGS211311,DPOGS211319,DPOGS211312,DPOGS211331,DPOGS211313,DPOGS211323,DPOGS211299,DPOGS211309,DPOGS211324,DPOGS211314,DPOGS204030,DPOGS204033,DPOGS204032,DPOGS204048,DPOGS204017,DPOGS204043,DPOGS204038,DPOGS204014,DPOGS204045,DPOGS204036,DPOGS204051,DPOGS204024,DPOGS204016,DPOGS211040,DPOGS211041,DPOGS211049,DPOGS211052,DPOGS211048,DPOGS211045,DPOGS211053,DPOGS214943,DPOGS214938,DPOGS214934,DPOGS214954,DPOGS214936,DPOGS214951,DPOGS214940,DPOGS202701,DPOGS202700,DPOGS202697,DPOGS202692,DPOGS202689,DPOGS202704,DPOGS202703,DPOGS211234,DPOGS211235,DPOGS211233,DPOGS211238,DPOGS202875 
DPOGS211355 	DPOGS211356,DPOGS211345,DPOGS211335,DPOGS211343,DPOGS211347,DPOGS211349,DPOGS211346,DPOGS211373,DPOGS211352,DPOGS211353,DPOGS211350,DPOGS211361,DPOGS211363,DPOGS211365,DPOGS211362 
DPOGS211472 	DPOGS211473,DPOGS211478,DPOGS211476,DPOGS211492,DPOGS211477,DPOGS211475,DPOGS211471,DPOGS211474 
DPOGS212093 	DPOGS212104,DPOGS212090,DPOGS212160,DPOGS212102,DPOGS212100,DPOGS212118,DPOGS212101,DPOGS212159,DPOGS212089,DPOGS212129,DPOGS212169,DPOGS212143,DPOGS212117,DPOGS212123,DPOGS212165,DPOGS212116,DPOGS212095,DPOGS212115,DPOGS212178,DPOGS212137,DPOGS212168,DPOGS212142,DPOGS212127,DPOGS212173,DPOGS212155,DPOGS212103,DPOGS212166,DPOGS212138,DPOGS212136,DPOGS212112,DPOGS212110,DPOGS212122,DPOGS212153,DPOGS212154,DPOGS212177,DPOGS212098,DPOGS212164,DPOGS212146,DPOGS212096,DPOGS212105,DPOGS212097,DPOGS212107,DPOGS212148,DPOGS212133 
DPOGS212634 	DPOGS212638,DPOGS212609,DPOGS212635,DPOGS212610,DPOGS212605,DPOGS212632,DPOGS212588,DPOGS212626,DPOGS212627 
DPOGS212940 	DPOGS212952,DPOGS212954,DPOGS212953,DPOGS212976,DPOGS212977,DPOGS212967,DPOGS212947,DPOGS212958,DPOGS212973,DPOGS212975,DPOGS212972,DPOGS212929,DPOGS212955,DPOGS212930,DPOGS212946,DPOGS212968,DPOGS212945,DPOGS212927,DPOGS212937,DPOGS212938 
DPOGS212941 	DPOGS212952,DPOGS212954,DPOGS212953,DPOGS212976,DPOGS212977,DPOGS212967,DPOGS212947,DPOGS212974,DPOGS212973,DPOGS212975,DPOGS212972,DPOGS212929,DPOGS212955,DPOGS212930,DPOGS212928,DPOGS212968,DPOGS212945,DPOGS212927,DPOGS212937,DPOGS212938 
