"Gene_ID","Pi_gene_0d","Td_gene_0d","Tw_gene_0d","Pi_gene_4d","Td_gene_4d","Tw_gene_4d","Pi_gene_full","Td_gene_full","Tw_gene_full","DOS_east","W_Danaus_plexippus_East","East_Pin_Pis_Monarch","alpha_East","W_alpha_East","Gene_Type","Gene_function"
"DPOGS205219",0.004174584,-1.159340116,0.006214587,0.011494253,-1.05296854,0.016614645,0.005009921,-1.411431126,0.008030412,-0.019133303,0.12529274,0.150054056,-0.197627701,-0.024761316,"Paired_control","Modulation"
"DPOGS205217",0.011721162,-0.888421922,0.015402178,0.022212544,-0.187684372,0.023503644,0.013246614,-0.7911783,0.016698618,-0.018224133,0.037,0.056975167,-0.53986938,-0.019975167,"Paired_control","Modulation"
"DPOGS205214",0.003156566,-1.00166146,0.00467224,0.000865196,-0.740993868,0.001616183,0.002398259,-1.191161079,0.003773972,-0.194145549,0.281660536,0.706216035,-1.507330437,-0.424555499,"Paired_control","Modulation"
"DPOGS205220",0.005412289,-1.87199058,0.010676536,0.005652413,-2.070289267,0.0131061,0.005968896,-2.004717354,0.012340241,-0.160307161,0.353199805,0.728064784,-1.061339713,-0.374864979,"Paired_control","Modulation"
"DPOGS205222",0.000990596,-1.410929602,0.001824122,0.002384322,-1.75406594,0.005728701,0.001493046,-1.678335799,0.002821063,0.018818949,0.019179894,0,1,0.019179894,"Paired_control","Modulation"
"DPOGS205225",0.003216518,-0.93337642,0.004425485,0.018131627,-1.229925814,0.027424015,0.00871712,-0.924498563,0.0114988,0.103778097,0.115795091,0,1,0.115795091,"Paired_control","Modulation"
"DPOGS205210",0.00159261,-1.657285183,0.003437768,0.006084656,-0.448096006,0.007342091,0.002802636,-1.033142837,0.004003477,0.043906743,0.13032827,0.07688358,0.410077492,0.05344469,"Immune_genes","Modulation"
"DPOGS205231",0.007829352,-1.094659821,0.010949409,0.012298826,-0.108224072,0.012677993,0.009448224,-0.770073762,0.011775051,-0.051248757,0.119830329,0.188010125,-0.568969453,-0.068179797,"Immune_genes","Modulation"
"DPOGS205209",0.012352163,-1.325722907,0.020784595,0.029745774,-0.14114873,0.031338192,0.018941365,-1.115494484,0.027382388,0.020788987,0.332094752,0.296199235,0.108088178,0.035895517,"Paired_control","Signaling"
"DPOGS205232",0.009601922,-0.344071231,0.01055809,0.004522115,-0.918472057,0.006329389,0.008066791,-0.475696853,0.00920376,0.022832705,0.145892351,0.116675844,0.200260723,0.029216508,"Paired_control","Modulation"
"DPOGS205233",0.008257282,-0.892919216,0.010785683,0.002790683,-1.475678562,0.005484184,0.005541311,-1.042789458,0.007610359,0.119510398,0.241126071,0.080811966,0.664855958,0.160314105,"Paired_control","Modulation"
"DPOGS205206",0.005588253,-0.106926614,0.005774678,0.012598313,-0.573399956,0.015279486,0.007071365,-0.356257965,0.007836196,0.066142765,0.120608285,0.04328022,0.641150527,0.077328066,"Immune_genes","Modulation"
"DPOGS205203",0.007090184,-1.099389203,0.010347913,0.011119378,-1.622370576,0.022083632,0.010889935,-0.724623801,0.013507977,-0.070173592,0.244142455,0.363153895,-0.4874672,-0.119011439,"Paired_control","Modulation"
"DPOGS205202",0.00331468,-1.460850264,0.005725484,0.005696058,-1.532148691,0.011065831,0.003168568,-1.609264122,0.005667089,0.073048531,0.152751778,0.06322129,0.586117486,0.089530488,"Paired_control","Modulation"
"DPOGS205239",0.003016259,-1.441314595,0.005252007,0.008601142,-1.599654079,0.01645641,0.003955092,-1.794717984,0.007670841,0.00919957,0.055373064,0.045224997,0.183267212,0.010148067,"Paired_control","Modulation"
"DPOGS205240",0.012253581,-0.407420457,0.013754439,0.008141219,-0.720055681,0.010707216,0.009668411,-0.856745578,0.01247638,0.039536606,0.146439767,0.096729057,0.339461825,0.049710711,"Paired_control","Modulation"
"DPOGS205241",0.006024632,-1.510232532,0.010797192,0.016012253,-1.693362247,0.03381226,0.007644945,-1.758778859,0.014577085,-0.005676321,0.043217287,0.049431639,-0.143793202,-0.006214352,"Paired_control","Modulation"
"DPOGS205200",0.004854248,-0.858061591,0.006464734,0.024757378,-0.181926499,0.026109574,0.010626102,-0.712238724,0.013086597,0.04601025,0.141485039,0.084525734,0.402581821,0.056959304,"Paired_control","Signaling"
"DPOGS205199",0.001651585,-1.414017168,0.002881942,0.01293009,-1.343414642,0.020527443,0.006803125,-1.116509976,0.00960904,0.006752865,0.062769714,0.05519684,0.120645338,0.007572873,"Paired_control","Modulation"
"DPOGS205197",0.005809266,-1.052736337,0.008061258,0.020070788,-0.370774928,0.022294476,0.009650427,-0.817788362,0.012223282,0.066455595,0.107761869,0.031803609,0.704871404,0.07595826,"Paired_control","Modulation"
"DPOGS205243",0.010299697,-1.197623873,0.015097944,0.008690476,-1.040997429,0.012848659,0.007753212,-1.169988641,0.011196688,0.040293535,0.077731762,0.032878375,0.577027791,0.044853387,"Paired_control","Modulation"
"DPOGS205196",0.008833064,-1.385460044,0.01415712,0.000985222,-1.510602523,0.003544458,0.005342398,-1.518863592,0.009033285,0.034464683,0.071479374,0.033320704,0.533841695,0.03815867,"Paired_control","Modulation"
"DPOGS205244",0.012201961,-1.002994306,0.016383489,0.004121534,-0.911021373,0.005514446,0.008666908,-1.058588326,0.011855143,0.03239727,0.093840231,0.056403981,0.398936039,0.03743625,"Paired_control","Modulation"
"DPOGS205245",0.008496732,-0.880512482,0.01122908,0.011598037,0.1105226,0.011172747,0.008910345,-0.814790747,0.011381686,0.02572237,0.091967404,0.06213419,0.324388994,0.029833214,"Paired_control","Modulation"
"DPOGS205247",0.014248418,-0.861161032,0.018421016,0.007472385,-0.831486479,0.010143678,0.011147351,-0.874791092,0.01443274,0.046551696,0.150971599,0.092439064,0.387705606,0.058532535,"Paired_control","Modulation"
"DPOGS205192",0.004337443,0.555391302,0.00368861,0.024921715,-0.856604917,0.032514973,0.010868587,-0.53426277,0.012653111,0.006356242,0.014994487,0.008488175,0.433913621,0.006506312,"Paired_control","Signaling"
"DPOGS205191",0.01012687,-0.890205226,0.013263132,0.003450253,-1.810246579,0.008086568,0.007740545,-0.99083558,0.010453675,-0.006145183,0.038389862,0.045058481,-0.173707798,-0.006668618,"Paired_control","Modulation"
"DPOGS205190",0.00064706,-0.538797511,0.000834328,0.003325775,-1.254736199,0.005710515,0.001534746,-1.015569346,0.002192337,-0.064027133,0.119515012,0.205957225,-0.723274947,-0.086442214,"Paired_control","Modulation"
